No,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,A,Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,32.63B,25.46,115.48,0.82%,"1,111,810"
2,AA,Alcoa Corp,Basic Materials,Aluminum,USA,18.87B,15.95,71.53,-0.74%,"5,665,793"
3,AAA,Alternative Access First Priority CLO Bond ETF,Financial,Exchange Traded Fund,USA,-,-,24.94,-0.14%,"7,782"
4,AAAA,Amplius Aggressive Asset Allocation ETF,Financial,Exchange Traded Fund,USA,-,-,26.92,-0.11%,"5,439"
5,AAAC,Columbia AAA CLO ETF,Financial,Exchange Traded Fund,USA,-,-,19.99,0.05%,8
6,AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-,46.09,-1.96%,"3,549,419"
7,AACB,Artius II Acquisition Inc,Financial,Shell Companies,USA,286.16M,658.60,10.34,0.00%,447
8,AACG,ATA Creativity Global ADR,Consumer Defensive,Education & Training Services,China,30.81M,-,0.97,5.33%,"1,931"
9,AACI,Armada Acquisition Corp III,Financial,Shell Companies,USA,335.54M,-,9.86,0.00%,988
10,AACOU,Abony Acquisition Corp I,Financial,Shell Companies,USA,205.32M,-,9.95,-0.20%,"2,090"
11,AACPU,Apogee Acquisition Corp,Financial,Shell Companies,USA,-,-,-,-,0
12,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-,83.25,-0.28%,"2,183"
13,AAEQ,Alpha Architect US Equity 2 ETF,Financial,Exchange Traded Fund,USA,-,-,46.92,0.13%,"4,215"
14,AAL,American Airlines Group Inc,Industrials,Airlines,USA,7.16B,65.26,10.84,-2.61%,"52,701,537"
15,AALG,Leverage Shares 2X Long AAL Daily ETF,Financial,Exchange Traded Fund,USA,-,-,8.03,-6.03%,"79,065"
16,AAME,Atlantic American Corp,Financial,Insurance - Life,USA,45.28M,9.85,2.22,-1.33%,"11,911"
17,AAMI,Acadian Asset Management Inc,Financial,Asset Management,USA,1.97B,25.02,55.28,-1.64%,"328,432"
18,AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment,USA,7.81B,-,103.91,20.34%,"19,811,717"
19,AAON,AAON Inc,Industrials,Building Products & Equipment,USA,6.63B,62.86,81.36,-2.74%,"630,257"
20,AAOX,Tradr 2X Long AAOI Daily ETF,Financial,Exchange Traded Fund,USA,-,-,26.33,40.43%,"2,732,572"
21,AAP,Advance Auto Parts Inc,Consumer Cyclical,Auto Parts,USA,3.11B,71.14,51.83,-4.72%,"1,272,829"
22,AAPB,GraniteShares 2x Long AAPL Daily ETF,Financial,Exchange Traded Fund,USA,-,-,27.50,0.03%,"42,215"
23,AAPD,Direxion Daily AAPL Bear 1X ETF,Financial,Exchange Traded Fund,USA,-,-,13.84,-0.12%,"13,185,050"
24,AAPG,Ascentage Pharma Group International ADR,Healthcare,Biotechnology,China,2.53B,-,27.32,3.96%,"6,547"
25,AAPL,Apple Inc,Technology,Consumer Electronics,USA,3757.20B,32.38,255.92,0.11%,"31,149,390"
26,AAPR,Innovator Equity Defined Protection ETF - 2 Yr to April 2026,Financial,Exchange Traded Fund,USA,-,-,28.87,0.00%,"28,775"
27,AAPU,Direxion Daily AAPL Bull 2X ETF,Financial,Exchange Traded Fund,USA,-,-,28.50,0.11%,"1,532,098"
28,AAPW,Roundhill AAPL WeeklyPay ETF,Financial,Exchange Traded Fund,USA,-,-,34.85,0.32%,"3,048"
29,AAPX,T-Rex 2X Long Apple Daily Target ETF,Financial,Exchange Traded Fund,USA,-,-,25.90,0.27%,"70,061"
30,AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,Financial,Exchange Traded Fund,USA,-,-,22.24,0.27%,729
31,AARD,Aardvark Therapeutics Inc,Healthcare,Biotechnology,USA,93.81M,-,4.30,5.13%,"132,532"
32,AAT,American Assets Trust Inc,Real Estate,REIT - Diversified,USA,1.15B,20.31,18.67,1.74%,"356,125"
33,AAUA,Alpha Architect US Equity 3 ETF,Financial,Exchange Traded Fund,USA,-,-,49.52,0.25%,"1,508"
34,AAUC,Allied Gold Corp,Basic Materials,Gold,Canada,3.87B,-,31.19,-0.06%,"193,823"
35,AAUM,Tema Alternative Asset Managers ETF,Financial,Exchange Traded Fund,USA,-,-,19.21,-1.04%,408
36,AAUS,Alpha Architect US Equity ETF,Financial,Exchange Traded Fund,USA,-,-,52.79,0.06%,9
37,AAVM,Alpha Architect Global Factor Equity ETF,Financial,Exchange Traded Fund,USA,-,-,31.69,-0.77%,"2,119"
38,AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,96.11,-1.11%,"1,504,343"
39,AB,AllianceBernstein Holding Lp,Financial,Asset Management,USA,3.56B,12.87,38.63,1.68%,"273,374"
40,ABAT,American Battery Technology Company,Industrials,Waste Management,USA,366.15M,-,2.78,2.21%,"2,200,270"
41,ABBV,Abbvie Inc,Healthcare,Drug Manufacturers - General,USA,369.26B,88.44,208.84,-2.86%,"5,083,736"
42,ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,5.32B,13.07,78.40,-0.13%,"377,192"
43,ABCL,AbCellera Biologics Inc,Healthcare,Biotechnology,Canada,1.07B,-,3.52,0.28%,"3,484,480"
44,ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,Financial,Exchange Traded Fund,USA,-,-,29.98,0.18%,"4,113"
45,ABEO,Abeona Therapeutics Inc,Healthcare,Biotechnology,USA,274.98M,4.83,4.82,5.24%,"766,632"
46,ABEQ,Absolute Select Value ETF,Financial,Exchange Traded Fund,USA,-,-,37.86,0.19%,"13,546"
47,ABEV,Ambev S.A. ADR,Consumer Defensive,Beverages - Brewers,Brazil,45.76B,16.48,2.93,-1.35%,"42,957,245"
48,ABFL,Abacus FCF Leaders ETF,Financial,Exchange Traded Fund,USA,-,-,71.94,0.00%,"18,756"
49,ABG,Asbury Automotive Group Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,3.76B,7.77,194.76,0.38%,"121,103"
50,ABI,VictoryShares Pioneer Asset-Based Income ETF,Financial,Exchange Traded Fund,USA,-,-,24.89,0.16%,8
51,ABIG,Argent Large Cap ETF,Financial,Exchange Traded Fund,USA,-,-,29.45,0.06%,"6,354"
52,ABLD,Abacus FCF Real Assets Leaders ETF,Financial,Exchange Traded Fund,USA,-,-,31.63,-0.23%,"3,680"
53,ABLG,Abacus FCF International Leaders ETF,Financial,Exchange Traded Fund,USA,-,-,29.90,-0.99%,251
54,ABLS,Abacus FCF Small Cap Leaders ETF,Financial,Exchange Traded Fund,USA,-,-,18.58,0.19%,257
55,ABLV,Able View Global Inc,Consumer Cyclical,Specialty Retail,China,30.13M,-,0.61,-2.09%,"2,085"
56,ABM,ABM Industries Inc,Industrials,Specialty Business Services,USA,2.27B,15.26,38.72,0.05%,"725,724"
57,ABNB,Airbnb Inc,Consumer Cyclical,Travel Services,USA,76.06B,30.91,124.95,-0.19%,"3,094,492"
58,ABNG,Leverage Shares 2x Long ABNB Daily ETF,Financial,Exchange Traded Fund,USA,-,-,14.41,-0.53%,"1,162"
59,ABNY,YieldMax ABNB Option Income Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,40.38,-1.03%,802
60,ABOS,Acumen Pharmaceuticals Inc,Healthcare,Biotechnology,USA,194.97M,-,2.70,5.88%,"635,601"
61,ABOT,Abacus FCF Innovation Leaders ETF,Financial,Exchange Traded Fund,USA,-,-,33.49,0.69%,23
62,ABR,Arbor Realty Trust Inc,Real Estate,REIT - Mortgage,USA,1.45B,13.87,7.50,-0.13%,"2,381,139"
63,ABSI,Absci Corp,Healthcare,Biotechnology,USA,468.25M,-,3.06,-2.86%,"4,666,424"
64,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,179.16B,27.67,102.87,0.48%,"5,442,089"
65,ABTC,American Bitcoin Corp,Financial,Capital Markets,USA,963.16M,-,0.91,-0.96%,"7,518,746"
66,ABTS,Abits Group Inc,Financial,Capital Markets,Hong Kong,3.53M,-,1.49,5.67%,"33,382"
67,ABUF,Aptus Laddered Buffer ETF,Financial,Exchange Traded Fund,USA,-,-,25.12,0.00%,0
68,ABUS,Arbutus Biopharma Corp,Healthcare,Biotechnology,USA,875.74M,-,4.48,-0.88%,"611,685"
69,ABVC,ABVC BioPharma Inc,Healthcare,Biotechnology,USA,27.73M,-,1.09,0.93%,"54,756"
70,ABVE,Above Food Ingredients Inc,Consumer Defensive,Packaged Foods,Canada,48.64M,-,0.95,7.49%,"1,145,621"
71,ABVX,Abivax ADR,Healthcare,Biotechnology,France,9.37B,-,118.37,2.96%,"954,766"
72,ABX,Abacus Global Management Inc,Financial,Insurance - Life,USA,781.03M,21.66,8.09,4.25%,"594,699"
73,ABXB,Abacus Flexible Bond Leaders ETF,Financial,Exchange Traded Fund,USA,-,-,19.34,0.12%,71
74,ACA,Arcosa Inc,Industrials,Engineering & Construction,USA,5.28B,25.41,107.70,-0.30%,"308,383"
75,ACAAU,Averin Capital Acquisition Corp,Financial,Shell Companies,USA,251.31M,-,10.05,0.32%,"5,107"
76,ACAD,Acadia Pharmaceuticals Inc,Healthcare,Biotechnology,USA,3.78B,9.70,22.20,-0.54%,"1,702,906"
77,ACB,Aurora Cannabis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,195.08M,-,3.44,2.69%,"687,600"
78,ACCL,Acco Group Holdings Ltd,Industrials,Consulting Services,Hong Kong,19.11M,145.74,1.37,3.79%,"12,347"
79,ACCO,Acco Brands Corporation,Industrials,Business Equipment & Supplies,USA,259.69M,6.51,2.88,-1.71%,"1,181,825"
80,ACCS,ACCESS Newswire Inc,Communication Services,Advertising Agencies,USA,32.80M,7.21,8.50,-0.58%,"2,697"
81,ACDC,ProFrac Holding Corp,Energy,Oil & Gas Equipment & Services,USA,1.10B,-,6.08,2.88%,"1,176,039"
82,ACEI,Innovator Equity Autocallable Income Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,23.23,-2.39%,"20,509"
83,ACEL,Accel Entertainment Inc,Consumer Cyclical,Gambling,USA,900.50M,18.29,11.04,0.36%,"350,151"
84,ACEP,ARS Core Equity Portfolio ETF,Financial,Exchange Traded Fund,USA,-,-,17.66,0.20%,748
85,ACES,ALPS Clean Energy ETF,Financial,Exchange Traded Fund,USA,-,-,33.46,-0.56%,"13,672"
86,ACET,Adicet Bio Inc,Healthcare,Biotechnology,USA,67.08M,-,6.99,1.60%,"64,015"
87,ACFN,Acorn Energy Inc,Technology,Scientific & Technical Instruments,USA,43.11M,17.35,17.20,6.34%,"5,503"
88,ACGCU,ACP Holdings Acquisition Corp,Financial,Shell Companies,USA,-,-,-,-,0
89,ACGL,Arch Capital Group Ltd,Financial,Insurance - Diversified,Bermuda,34.42B,8.33,96.74,1.31%,"1,410,535"
90,ACGR,American Century Large Cap Growth ETF,Financial,Exchange Traded Fund,USA,-,-,60.04,0.09%,10
91,ACH,Accendra Health Inc,Healthcare,Medical Distribution,USA,201.03M,-,2.63,6.05%,"618,097"
92,ACHC,Acadia Healthcare Company Inc,Healthcare,Medical Care Facilities,USA,2.21B,-,23.96,1.23%,"2,129,731"
93,ACHR,Archer Aviation Inc,Industrials,Aerospace & Defense,USA,4.04B,-,5.42,4.03%,"20,908,655"
94,ACHV,Achieve Life Sciences Inc,Healthcare,Biotechnology,Canada,171.97M,-,3.23,2.87%,"504,188"
95,ACI,Albertsons Companies Inc,Consumer Defensive,Grocery Stores,USA,8.97B,11.24,17.45,2.59%,"5,924,242"
96,ACIC,American Coastal Insurance Corp,Financial,Insurance - Property & Casualty,USA,533.76M,5.11,10.97,-0.18%,"138,995"
97,ACII,Innovator Index Autocallable Income Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,25.13,0.48%,"377,330"
98,ACIO,Aptus Collared Investment Opportunity ETF,Financial,Exchange Traded Fund,USA,-,-,42.20,0.02%,"88,692"
99,ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland,280.90M,-,2.76,-1.08%,"119,822"
100,ACIW,ACI Worldwide Inc,Technology,Software - Infrastructure,USA,4.20B,19.07,41.33,0.90%,"739,842"
101,ACKY,VistaShares Target 15 ACKtivist Distribution ETF,Financial,Exchange Traded Fund,USA,-,-,17.58,-0.10%,"30,245"
102,ACLC,American Century Large Cap Equity ETF,Financial,Exchange Traded Fund,USA,-,-,74.41,-0.00%,"55,423"
103,ACLO,TCW AAA CLO ETF,Financial,Exchange Traded Fund,USA,-,-,50.21,0.06%,186
104,ACLS,Axcelis Technologies Inc,Technology,Semiconductor Equipment & Materials,USA,2.92B,25.05,95.09,-0.44%,"353,670"
105,ACLX,Arcellx Inc,Healthcare,Biotechnology,USA,6.71B,-,114.77,0.02%,"1,212,198"
106,ACM,AECOM,Industrials,Engineering & Construction,USA,10.95B,19.44,84.71,-1.16%,"1,057,416"
107,ACMR,ACM Research Inc,Technology,Semiconductor Equipment & Materials,USA,2.66B,29.56,40.54,0.20%,"777,400"
108,ACN,Accenture plc,Technology,Information Technology Services,Ireland,123.60B,16.49,201.33,2.17%,"5,518,318"
109,ACNB,ACNB Corp,Financial,Banks - Regional,USA,496.97M,13.54,48.00,-0.10%,"37,251"
110,ACNT,Ascent Industries Co,Basic Materials,Chemicals,USA,124.05M,150.23,13.10,-0.38%,"123,946"
111,ACOG,Alpha Cognition Inc,Healthcare,Biotechnology,USA,130.21M,-,5.98,0.34%,"56,401"
112,ACON,Aclarion Inc,Healthcare,Health Information Services,USA,8.15M,-,3.57,4.69%,"55,293"
113,ACP,abrdn Income Credit Strategies Fund,Financial,Closed-End Fund - Debt,USA,638.65M,15.42,5.09,-0.39%,"319,769"
114,ACR,ACRES Commercial Realty Corp,Real Estate,REIT - Mortgage,USA,134.49M,2773.53,18.86,-1.67%,"17,700"
115,ACRE,Ares Commercial Real Estate Corp,Real Estate,REIT - Mortgage,USA,263.55M,-,4.76,0.85%,"496,281"
116,ACRS,Aclaris Therapeutics Inc,Healthcare,Biotechnology,USA,506.50M,-,4.20,1.45%,"940,049"
117,ACRV,Acrivon Therapeutics Inc,Healthcare,Biotechnology,USA,58.89M,-,1.52,4.11%,"392,238"
118,ACSG,American Century Small Cap Growth Insights ETF,Financial,Exchange Traded Fund,USA,-,-,40.12,0.34%,"6,930"
119,ACSI,American Customer Satisfaction ETF,Financial,Exchange Traded Fund,USA,-,-,64.88,0.28%,33
120,ACSV,American Century Small Cap Value Insights ETF,Financial,Exchange Traded Fund,USA,-,-,42.98,0.26%,221
121,ACT,Enact Holdings Inc,Financial,Insurance - Specialty,USA,5.85B,9.15,41.35,1.92%,"275,517"
122,ACTG,Acacia Research Corp,Industrials,Business Equipment & Supplies,USA,482.38M,22.43,5.00,1.63%,"216,563"
123,ACTU,Actuate Therapeutics Inc,Healthcare,Biotechnology,USA,58.80M,-,2.48,-0.40%,"42,815"
124,ACU,Acme United Corp,Consumer Defensive,Household & Personal Products,USA,170.57M,18.05,44.79,-0.29%,"13,707"
125,ACV,Virtus Diversified Income & Convertible Fund,Financial,Closed-End Fund - Equity,USA,255.99M,5.92,24.67,0.73%,"21,047"
126,ACVA,ACV Auctions Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,758.95M,-,4.36,2.11%,"2,536,808"
127,ACVF,American Conservative Values ETF,Financial,Exchange Traded Fund,USA,-,-,47.99,0.29%,"2,338"
128,ACVT,Advent Convertible Bond ETF,Financial,Exchange Traded Fund,USA,-,-,26.10,-0.06%,7
129,ACWI,iShares MSCI ACWI ETF,Financial,Exchange Traded Fund,USA,-,-,139.44,-0.16%,"3,515,819"
130,ACWV,iShares MSCI Global Min Vol Factor ETF,Financial,Exchange Traded Fund,USA,-,-,119.90,0.32%,"58,595"
131,ACWX,iShares MSCI ACWI ex US ETF,Financial,Exchange Traded Fund,USA,-,-,68.93,-0.66%,"3,455,539"
132,ACXP,Acurx Pharmaceuticals Inc,Healthcare,Biotechnology,USA,10.51M,-,3.68,-5.40%,"162,426"
133,ACYN,FT Vest Laddered Autocallable Barrier & Income ETF,Financial,Exchange Traded Fund,USA,-,-,20.57,0.98%,"303,351"
134,AD,Array Digital Infrastructure Inc,Communication Services,Telecom Services,USA,4.15B,14.39,48.00,0.80%,"147,137"
135,ADAC,American Drive Acquisition Co,Financial,Shell Companies,USA,284.62M,-,9.90,0.00%,"1,577"
136,ADAG,Adagene Inc ADR,Healthcare,Biotechnology,China,188.05M,-,3.99,-13.45%,"1,225,420"
137,ADAM,Adamas Trust Inc,Real Estate,REIT - Mortgage,USA,668.61M,6.70,7.39,0.54%,"548,595"
138,ADBE,Adobe Inc,Technology,Software - Application,USA,98.19B,14.15,242.92,0.64%,"3,586,782"
139,ADBG,Leverage Shares 2X Long ADBE Daily ETF,Financial,Exchange Traded Fund,USA,-,-,4.58,1.33%,"2,264,169"
140,ADBU,Direxion Daily ADBE Bull 2X ETF,Financial,Exchange Traded Fund,USA,-,-,25.68,1.04%,"51,141"
141,ADC,Agree Realty Corp,Real Estate,REIT - Retail,USA,9.20B,43.37,76.61,1.02%,"895,058"
142,ADCT,Adc Therapeutics SA,Healthcare,Biotechnology,Switzerland,480.23M,-,3.78,-0.53%,"1,355,030"
143,ADEA,Adeia Inc,Technology,Software - Application,USA,2.73B,25.47,25.07,0.00%,"835,683"
144,ADFI,Anfield Dynamic Fixed Income ETF,Financial,Exchange Traded Fund,USA,-,-,8.51,0.18%,"10,660"
145,ADGM,Adagio Medical Holdings Inc,Healthcare,Medical Devices,USA,27.76M,-,1.25,6.84%,"11,039"
146,ADI,Analog Devices Inc,Technology,Semiconductors,USA,155.41B,58.15,318.34,-0.70%,"2,384,821"
147,ADIL,Adial Pharmaceuticals Inc,Healthcare,Biotechnology,USA,2.41M,-,1.69,-2.31%,"43,151"
148,ADIV,Guinness Atkinson Asia Pacific Dividend Builder ETF,Financial,Exchange Traded Fund,USA,-,-,17.64,0.06%,"93,085"
149,ADM,Archer Daniels Midland Co,Consumer Defensive,Farm Products,USA,35.53B,33.13,73.83,2.02%,"3,349,916"
150,ADMA,Adma Biologics Inc,Healthcare,Biotechnology,USA,2.19B,15.34,9.19,0.88%,"6,123,814"
151,ADME,Aptus Drawdown Managed Equity ETF,Financial,Exchange Traded Fund,USA,-,-,49.65,-0.04%,"7,178"
152,ADNT,Adient plc,Consumer Cyclical,Auto Parts,USA,1.60B,-,20.37,-2.21%,"625,375"
153,ADP,Automatic Data Processing Inc,Technology,Software - Application,USA,82.14B,19.60,204.01,1.36%,"2,846,390"
154,ADPT,Adaptive Biotechnologies Corp,Healthcare,Biotechnology,USA,2.28B,-,14.81,2.63%,"1,565,437"
155,ADPV,Adaptiv Select ETF,Financial,Exchange Traded Fund,USA,-,-,42.18,-2.54%,"67,695"
156,ADSE,Ads-Tec Energy Plc,Industrials,Electrical Equipment & Parts,Ireland,646.92M,-,10.76,-7.24%,"2,545"
157,ADSK,Autodesk Inc,Technology,Software - Application,USA,50.23B,45.51,238.08,0.09%,"1,990,466"
158,ADT,ADT Inc,Industrials,Security & Protection Services,USA,5.43B,9.95,6.62,1.07%,"9,719,747"
159,ADTN,ADTRAN Holdings Inc,Technology,Communication Equipment,USA,1.04B,-,12.88,1.18%,"2,298,409"
160,ADTX,Aditxt Inc,Healthcare,Biotechnology,USA,0.41M,-,0.79,-11.72%,"797,687"
161,ADUR,Aduro Clean Technologies Inc,Industrials,Pollution & Treatment Controls,Canada,345.11M,-,10.37,0.58%,"212,327"
162,ADUS,Addus HomeCare Corporation,Healthcare,Medical Care Facilities,USA,1.71B,17.57,91.59,-2.41%,"268,709"
163,ADV,Advantage Solutions Inc,Communication Services,Advertising Agencies,USA,284.93M,-,21.75,13.34%,"69,714"
164,ADVB,Advanced Biomed Inc,Healthcare,Diagnostics & Research,Taiwan,6.21M,34.37,4.55,2.02%,"2,937"
165,ADVE,Matthews Asia Dividend Active ETF,Financial,Exchange Traded Fund,USA,-,-,41.83,-0.98%,231
166,ADX,Adams Diversified Equity Fund,Financial,Closed-End Fund - Equity,USA,2.75B,5.64,22.43,0.13%,"195,946"
167,ADXN,Addex Therapeutics Ltd ADR,Healthcare,Biotechnology,Switzerland,7.21M,-,5.72,-8.93%,"8,663"
168,AEAQ,Activate Energy Acquisition Corp,Financial,Shell Companies,Cayman Islands,311.22M,-,9.94,0.10%,"46,738"
169,AEBI,Aebi Schmidt Holding AG,Industrials,Farm & Heavy Construction Machinery,Switzerland,741.83M,18.64,9.58,2.13%,"350,312"
170,AEC,Anfield Energy Inc,Energy,Uranium,Canada,87.02M,-,5.48,-3.18%,"25,994"
171,AEE,Ameren Corp,Utilities,Utilities - Regulated Electric,USA,30.87B,20.88,111.68,0.80%,"1,034,282"
172,AEF,abrdn Emerging Markets ex-China Fund Inc,Financial,Closed-End Fund - Equity,USA,299.64M,3.22,7.38,-1.60%,"99,513"
173,AEG,Aegon Ltd,Financial,Insurance - Diversified,Netherlands,11.07B,10.42,7.36,-0.14%,"8,801,303"
174,AEHL,Antelope Enterprise Holdings Ltd,Industrials,Building Products & Equipment,China,4.07M,-,1.11,-11.20%,"363,270"
175,AEHR,Aehr Test Systems,Technology,Semiconductor Equipment & Materials,USA,1.36B,-,44.32,11.92%,"3,581,951"
176,AEI,Alset Inc,Real Estate,Real Estate - Development,USA,68.07M,-,1.75,-0.57%,"5,144"
177,AEIS,Advanced Energy Industries Inc,Industrials,Electrical Equipment & Parts,USA,12.55B,87.08,332.31,-0.15%,"320,033"
178,AEM,Agnico Eagle Mines Ltd,Basic Materials,Gold,Canada,104.48B,23.49,208.54,-0.73%,"2,138,796"
179,AEMD,Aethlon Medical Inc,Healthcare,Medical Devices,USA,2.79M,-,2.12,-1.40%,"18,946"
180,AEMS,Anfield Enhanced Market ETF,Financial,Exchange Traded Fund,USA,-,-,10.14,0.29%,"30,883"
181,AENT,Alliance Entertainment Holding Corporation,Communication Services,Entertainment,USA,340.40M,15.57,6.68,2.45%,"6,013"
182,AEO,American Eagle Outfitters Inc,Consumer Cyclical,Apparel Retail,USA,2.81B,15.04,16.84,-2.77%,"5,204,276"
183,AEON,AEON Biopharma Inc,Healthcare,Biotechnology,USA,22.49M,-,0.89,-9.16%,"74,795"
184,AEP,American Electric Power Company Inc,Utilities,Utilities - Regulated Electric,USA,71.76B,19.92,132.68,0.77%,"1,998,265"
185,AER,Aercap Holdings N.V,Industrials,Rental & Leasing Services,Ireland,23.23B,6.52,139.18,-0.56%,"1,022,008"
186,AERO,Grupo Aeromexico S.A.B. De C.V. ADR,Industrials,Airlines,Mexico,2.09B,7.97,14.30,0.14%,"196,399"
187,AERT,Aeries Technology Inc,Industrials,Consulting Services,Singapore,24.17M,-,0.48,19.25%,"837,363"
188,AES,AES Corp,Utilities,Utilities - Diversified,USA,10.19B,10.87,14.30,0.70%,"7,462,789"
189,AESI,Atlas Energy Solutions Inc,Energy,Oil & Gas Equipment & Services,USA,1.52B,-,12.15,-0.41%,"3,578,304"
190,AESPU,Aeon Acquisition I Corp,Financial,Shell Companies,USA,-,-,-,-,0
191,AESR,Anfield U.S. Equity Sector Rotation ETF,Financial,Exchange Traded Fund,USA,-,-,17.02,-0.06%,"14,881"
192,AETH,Bitwise Trendwise Ether and Treasuries Rotation Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,34.16,0.01%,489
193,AEVA,Aeva Technologies Inc,Technology,Software - Infrastructure,USA,832.80M,-,13.23,0.23%,"822,311"
